type,question_number,question,option_A,option_B,option_C,option_D,correct_answer,answer_text
multiple_choice,2,"The political business cycle refers to the pheno menon that just before elections, politicians enact ________ policies. After the elections, the bad eff ects of these policies (for example, ________ ) have to be counteracted with ________ policies.",expansionary; higher unemployment; contractionar y,expansionary; a higher inflation rate; contracti onary,contractionary; higher unemployment; expansionar y,contractionary; a higher inflation rate; expansi onary,B,
multiple_choice,3,The strongest argument for an independent Federa l Reserve rests on the view that subjecting the Fed to more political pressures would impart,an inflationary bias to monetary policy.,a deflationary bias to monetary policy.,a disinflationary bias to monetary policy.,a countercyclical bias to monetary policy.,A,
multiple_choice,4,Critics of the current system of Fed independenc e contend that,the current system is undemocratic.,voters have too much say about monetary policy.,the president has too much control over monetary policy on a day-to-day basis.,the Board of Governors is held responsible for p olicy missteps.,A,
multiple_choice,5,Recent research indicates that inflation perform ance (low inflation) has been found to be best in countries with,the most independent central banks.,political control of monetary policy.,money financing of budget deficits.,a policy of always keeping interest rates low.,A,
essay,6,Make the case for and against an independent Fed eral Reserve.,,,,,,"Case for: 1. An independent Federal Reserv e can shield the economy from the political business cycle, and it will be less likely to have an inflationary bias to monetary policy. 2. Control of the money supply is too important to leave to in experienced politicians. Case against: 1. It is undemocratic to have monetar y policy be controlled by a small number of individuals that are not accountable. 2. In the pas t, an independent Fed has not used its freedom wisely. 3. Its independence may encourage it to pur sue its own self-interest rather than the public's interest. Question Status: Previous Edition AACSB: Ethical Understanding and Reasoning Abiliti es 14.5 Explaining Central Bank Behavior"
multiple_choice,1,The theory of bureaucratic behavior suggests tha t the objective of a bureaucracy is to maximize,the public's welfare.,profits.,its own welfare.,conflict with the executive and legislative bran ches of government.,C,
multiple_choice,2,The theory of bureaucratic behavior when applied to the Fed helps to explain why the Fed,was supportive of congressional attempts to limi t the central bank's autonomy.,was so secretive about the conduct of future mon etary policy.,sought less control over banks in the 1980s.,was willing to take on powerful groups that may threaten its autonomy.,B,
essay,3,What is the theory of bureaucratic behavior and how can it be used to explain the behavior of the Federal Reserve?,,,,,,"The theory of bureaucratic behavior conclu des that the main objective of any bureaucracy is to maximize its own welfare, which i s related to power and prestige. This can explain why the Federal Reserve has defended its au tonomy, avoids conflict with Congress and the president, and its push to gain more control over b anks. Question Status: Previous Edition AACSB: Analytical Thinking 14.6 Structure and Independence of the European C entral Bank"
multiple_choice,1,"Under the European System of Central Banks, the Executive Board is similar in structure to the ________ of the Federal Reserve System.",Board of Governors,Federal Open Market Committee,Federal Reserve Banks,Federal Advisory Council,A,
multiple_choice,2,"Under the European System of Central Banks, the Governing Council is similar in structure to the ________ of the Federal Reserve System.",Board of Governors,Federal Open Market Committee,Federal Reserve Banks,Federal Advisory Council,B,
multiple_choice,3,"Under the European System of Central Banks, the National Central Banks have the same role as the ________ of the Federal Reserve System.",Board of Governors,Federal Open Market Committee,Federal Reserve Banks,Federal Advisory Council,C,
multiple_choice,4,"Members of the Executive Board of the European S ystem of Central Banks are appointed to ________ year, nonrenewable terms.",four,eight,ten,fourteen,B,
multiple_choice,5,Which of the following statements comparing the European System of Central Banks and the Federal Reserve System is TRUE?,"The budgets of the Federal Reserve Banks are con trolled by the Board of Governors, while the National Central Banks control their own budgets an d the budget of the European Central Bank.",The European Central Bank has similar power over the National Central Banks when compared to the level of power the Board of Governors has ov er the Federal Reserve Banks.,"Just like the Federal Reserve System, monetary o perations are centralized in the European System of Central Banks with the European Central B ank.",None of the above.,A,
multiple_choice,6,The Governing Council usually meets ________ tim es a year.,four,six,eight,twelve,D,
multiple_choice,7,"In the Governing Council, the decision of what p olicy to implement is made by",majority vote of the Executive Board members.,majority vote of the heads of the National Banks .,consensus.,majority vote of all members of the Governing Co uncil.,C,
multiple_choice,8,The central bank which is generally regarded as the most independent in the world because its charter cannot be changed by legislation is the,Bank of England.,Bank of Canada.,European Central Bank.,Bank of Japan.,C,
essay,9,Explain the similarities and differences between the European System of Central Banks and the Federal Reserve System.,,,,,,"The similarities between the two are in th eir structure. The National Central Banks of the member countries of the Eurosystem have the sam e role as the Federal Reserve Banks in the Federal Reserve System. The Executive Board and the Governing Council of the Eurosystem resemble the Board of Governors and the Federal Ope n Market Committee of the Federal Reserve System, respectively. There are three major differe nces between the two. The first difference is concerning the control of the budgets. In the Fed, the Board of Governors controls the budgets of the Reserve Banks while in the Eurosystem, the Nati onal Banks control the budget of the European Central Bank. The second difference is the monetary operations of the Eurosystem are conducted by the National Banks, so they are not as centraliz ed as the monetary operations in the Federal Reserve System. Question Status: Previous Edition AACSB: Reflective Thinking 14.7 Structure and Independence of Other Foreign Central Banks"
multiple_choice,1,"On paper, the Bank of Canada has ________ instru ment independence and ________ goal independence when compared to the Federal Reserve S ystem.",less; less,less; more,more; less,more; more,A,
multiple_choice,2,"The oldest central bank, having been founded in 1694, is the",Bank of England.,Deutsche Bundesbank.,Bank of Japan.,Federal Reserve System.,A,
multiple_choice,3,"While legislation enacted in 1998 granted the Ba nk of Japan new powers and greater autonomy, its critics contend that its independence is",limited by the Ministry of Finance's veto power over a portion of its budget.,too great because it need not pursue a policy of price stability even if that is the popular will o f the people.,too great since the Ministry of Finance no longe r has veto power over the bank's budget.,limited since the Ministry of Finance can dismis s senior bank officials.,A,
multiple_choice,4,Regarding central bank independence,the Fed is more independent than the European Ce ntral Bank.,the European Central Bank is more independent th an the Fed.,the trend in industrialized nations has been to reduce central bank independence.,the Bank of England has the longest tradition of independence of any central bank in the world.,B,
multiple_choice,5,The trend in recent years is that more and more governments,have been granting greater independence to their central banks.,have been reducing the independence of their cen tral banks to make them more accountable for poor economic performance.,have mandated that their central banks focus on controlling inflation.,have required their central banks to cooperate m ore with their Ministers of Finance.,A,
multiple_choice,6,Which of the following statements about central bank structure and independence is TRUE?,"In recent years, with the exception of the Bank of England and the Bank of Japan, most countries have reduced the independence of their ce ntral banks, subjecting them to greater democratic control.","Before the Bank of England was granted greater i ndependence, the Federal Reserve was the most independent of the world's central banks.",Both theory and experience suggest that more ind ependent central banks produce better monetary policy.,"While the European Central Bank is independent, it is not as independent as the Federal Reserve.",C,
multiple_choice,1,The government agencythat oversees the bankingsystem andis responsible forthe conduct of monetarypolicyinthe UnitedStates is,the Federal Reserve System.,the UnitedStates Treasury.,the U.S.GoldCommission.,the House ofRepresentatives.,A,
multiple_choice,2,Individuals that lendfunds toa bankbyopeninga checkingaccount are called,policyholders.,partners.,depositors.,debt holders.,C,
multiple_choice,3,The three players inthe moneysupplyprocess include,"banks,depositors,andthe U.S.Treasury.","banks,depositors,andborrowers.","banks,depositors,andthe central bank.","banks,borrowers,andthe central bank.",C,
multiple_choice,4,"Ofthe three players inthe moneysupplyprocess,most observers agree that the most important playeris",the UnitedStates Treasury.,the Federal Reserve System.,the FDIC.,the Office ofThrift Supervision.,B,
multiple_choice,1,Both________and________are Federal Reserve assets.,currencyincirculation; reserves,currencyincirculation; securities,securities; loans tofinancial institutions,securities; reserves,C,
multiple_choice,2,The monetaryliabilities ofthe Federal Reserve include,securities andloans tofinancial institutions.,currencyincirculationandreserves.,securities andreserves.,currencyincirculationandloans tofinancial institutions.,B,
multiple_choice,3,Both________and________are monetaryliabilities ofthe Fed.,securities; loans tofinancial institutions,currencyincirculation; reserves,securities; reserves,currencyincirculation; loans tofinancial institutions,B,
multiple_choice,4,The sum ofthe Fed's monetaryliabilities andthe U.S.Treasury's monetaryliabilities is called,the moneysupply.,currencyincirculation.,bankreserves.,the monetarybase.,D,
multiple_choice,5,The monetarybase consists of,currencyincirculationandFederal Reserve notes.,currencyincirculationandthe U.S.Treasury's monetaryliabilities.,currencyincirculationandreserves.,reserves andFederal Reserve Notes.,C,
multiple_choice,7,Reserves are equal tothe sum of,requiredreserves andexcess reserves.,requiredreserves andvault cashreserves.,excess reserves andvault cashreserves.,vault cashreserves andtotal reserves.,A,
multiple_choice,8,Total reserves are the sum of________and________.,excess reserves; borrowedreserves,requiredreserves; currencyincirculation,vault cash; excess reserves,excess reserves; requiredreserves,D,
multiple_choice,9,Excess reserves are equal to,total reserves minus discount loans.,vault cashplus deposits withFederal Reserve banks minus requiredreserves.,vault cashminus requiredreserves.,deposits withthe Fedminus vault cashplus requiredreserves.,B,
multiple_choice,10,Total Reserves minus vault cashequals,bankdeposits withthe Fed.,excess reserves.,requiredreserves.,currencyincirculation.,A,
multiple_choice,12,The percentage ofdeposits that banks must holdinreserve is the,excess reserve ratio.,requiredreserve ratio.,total reserve ratio.,currencyratio.,B,
multiple_choice,13,"Suppose that from a new checkable deposit,First National Bankholds twomilliondollars in vault cash,eight milliondollars ondeposit withthe Federal Reserve,andone milliondollars in requiredreserves.Giventhis information,we cansayFirst National Bankhas ________million dollars inexcess reserves.",three,nine,ten,eleven,B,
multiple_choice,14,"Suppose that from a new checkable deposit,First National Bankholds twomilliondollars in vault cash,eight milliondollars ondeposit withthe Federal Reserve,andone milliondollars in requiredreserves.Giventhis information,we cansayFirst National Bankfaces a required reserve ratioof________percent.",ten,twenty,eighty,ninety,A,
multiple_choice,16,"Suppose that from a new checkable deposit,First National Bankholds twomilliondollars in vault cash,eight milliondollars ondeposit withthe Federal Reserve,andnine milliondollars in excess reserves.Giventhis information,we cansayFirst National Bankfaces a requiredreserve ratioof________percent.",ten,twenty,eighty,ninety,A,
multiple_choice,17,"Suppose that from a new checkable deposit,First National Bankholds eight milliondollars ondeposit withthe Federal Reserve,one milliondollars inrequiredreserves,andfaces a requiredreserve ratiooftenpercent.Giventhis information,we cansayFirst National Bankhas ________milliondollars inexcess reserves.",two,eight,nine,ten,C,
multiple_choice,18,"Suppose that from a new checkable deposit,First National Bankholds eight milliondollars ondeposit withthe Federal Reserve,one milliondollars inrequiredreserves,andfaces a requiredreserve ratiooftenpercent.Giventhis information,we cansayFirst National Bankhas ________milliondollars invault cash.",two,eight,nine,ten,A,
multiple_choice,20,"Suppose that from a new checkable deposit,First National Bankholds twomilliondollars in vault cash,nine milliondollars inexcess reserves,andfaces a requiredreserve ratiooften percent.Giventhis information,we cansayFirst National Bankhas ________milliondollars on deposit withthe Federal Reserve.",one,two,eight,ten,C,
multiple_choice,21,"Suppose that from a new checkable deposit,First National Bankholds twomilliondollars in vault cash,one milliondollars inrequiredreserves,andfaces a requiredreserve ratiooften percent.Giventhis information,we cansayFirst National Bankhas ________milliondollars in excess reserves.",one,two,nine,ten,C,
multiple_choice,23,"Suppose that from a new checkable deposit,First National Bankholds eight milliondollars ondeposit withthe Federal Reserve,nine milliondollars inexcess reserves,andfaces a required reserve ratiooftenpercent.Giventhis information,we cansayFirst National Bankhas ________milliondollars inrequiredreserves.",one,two,nine,ten,A,
multiple_choice,24,"Suppose that from a new checkable deposit,First National Bankholds eight milliondollars ondeposit withthe Federal Reserve,nine milliondollars inexcess reserves,andfaces a required reserve ratiooftenpercent.Giventhis information,we cansayFirst National Bankhas ________milliondollars invault cash.",one,two,nine,ten,B,
multiple_choice,25,The interest rate the Fedcharges banks borrowingfrom the Fedis the,federal funds rate.,Treasurybill rate.,discount rate.,prime rate.,C,
multiple_choice,1,The monetarybase minus currencyincirculationequals,reserves.,the borrowedbase.,the nonborrowedbase.,discount loans.,A,
multiple_choice,2,The monetarybase minus reserves equals,currencyincirculation.,the borrowedbase.,the nonborrowedbase.,discount loans.,A,
multiple_choice,3,High-poweredmoneyminus reserves equals,reserves.,currencyincirculation.,the monetarybase.,the nonborrowedbase.,B,
multiple_choice,4,High-poweredmoneyminus currencyincirculationequals,reserves.,the borrowedbase.,the nonborrowedbase.,discount loans.,A,
multiple_choice,6,"Whenthe Federal Reserve purchases a government bondfrom a primarydealer,reserves in the bankingsystem ________andthe monetarybase ________,everythingelse heldconstant.",increase; increases,increase; decreases,decrease; increases,decrease; decreases,A,
multiple_choice,7,"Whenthe Federal Reserve sells a government bondtoa primarydealer,reserves inthe bankingsystem ________andthe monetarybase ________,everythingelse heldconstant.",increase; increases,increase; decreases,decrease; increases,decrease; decreases,D,
multiple_choice,8,"Whena primarydealersells a government bondtothe Federal Reserve,reserves inthe bankingsystem ________andthe monetarybase ________,everythingelse heldconstant.",increase; increases,increase; decreases,decrease; increases,decrease; decreases,A,
multiple_choice,10,"Whenthe Fedbuys $100worthofbonds from a primarydealer,reserves inthe banking system",increase by$100.,increase bymore than$100.,decrease by$100.,decrease bymore than$100.,A,
multiple_choice,11,"Whenthe Fedsells $100worthofbonds toa primarydealer,reserves inthe bankingsystem",increase by$100.,increase bymore than$100.,decrease by$100.,decrease bymore than$100.,C,
multiple_choice,12,"Whenthe Fedextends a $100discount loantothe First National Bank,reserves inthe bankingsystem",increase by$100.,increase bymore than$100.,decrease by$100.,decrease bymore than$100.,A,
multiple_choice,14,"Whenthe Federal Reserve extends a discount loantoa bank,the monetarybase ________ andreserves ________.",remains unchanged; decrease,remains unchanged; increase,increases; increase,increases; remainunchanged,C,
multiple_choice,15,"Whenthe Federal Reserve calls ina discount loanfrom a bank,the monetarybase ________ andreserves ________.",remains unchanged; decrease,remains unchanged; increase,decreases; decrease,decreases; remains unchanged,C,
multiple_choice,16,"Ifthe Feddecides toreduce bankreserves,it can",purchase government bonds.,extenddiscount loans tobanks.,sell government bonds.,print more currency.,C,
multiple_choice,18,A decrease in________leads toanequal ________inthe monetarybase inthe short run.,float; increase,float; decrease,Treasurydeposits at the Fed; decrease,discount loans; increase,B,
multiple_choice,19,The monetarybase declines when,the Fedextends discount loans.,Treasurydeposits at the Feddecrease.,float increases.,the Fedsells securities.,D,
multiple_choice,20,Anincrease in________leads toanequal ________inthe monetarybase inthe short run.,float; decrease,float; increase,discount loans; decrease,Treasurydeposits at the Fed; increase,B,
multiple_choice,21,"Suppose a personcashes his payroll checkandholds all the funds inthe form ofcurrency. Everythingelse heldconstant,total reserves inthe bankingsystem ________andthe monetary base ________.",remainunchanged; increases,decrease; increases,decrease; remains unchanged,decrease; decreases,C,
multiple_choice,23,The Feddoes not tightlycontrol the monetarybase because it does NOT completelycontrol,openmarket purchases.,openmarket sales.,borrowedreserves.,the discount rate.,C,
multiple_choice,24,Subtractingborrowedreserves from the monetarybase obtains,reserves.,high-poweredmoney.,the nonborrowedmonetarybase.,the borrowedmonetarybase.,C,
multiple_choice,25,"The relationshipbetweenborrowedreserves (BR),the nonborrowedmonetarybase (MB n), andthe monetarybase (MB)is",MB = MB n-BR.,BR = MB n-MB.,BR = MB -MB n.,MB = BR -MB n.,C,
multiple_choice,1,"Whenthe Fedsupplies the bankingsystem withanextra dollarofreserves,deposits increase bymore thanone dollar—a process called",extra deposit creation.,multiple deposit creation.,expansionarydeposit creation.,stimulative deposit creation.,B,
multiple_choice,2,"Whenthe Fedsupplies the bankingsystem withanextra dollarofreserves,deposits ________ by________thanone dollar—a process calledmultiple deposit creation.",increase; less,increase; more,decrease; less,decrease; more,B,
multiple_choice,3,"Ifthe requiredreserve ratiois equal to10percent,a single bankcanincrease its loans uptoa maximum amount equal to",its excess reserves.,10times its excess reserves.,10percent ofits excess reserves.,its total reserves.,A,
multiple_choice,5,"Inthe simple deposit expansionmodel,ifthe Fedpurchases $100worthofbonds from a bank that previouslyhadnoexcess reserves,deposits inthe bankingsystem canpotentiallyincrease by",$10.,$100.,$100times the reciprocal ofthe requiredreserve ratio.,$100times the requiredreserve ratio.,C,
multiple_choice,6,"Inthe simple deposit expansionmodel,ifthe Fedextends a $100discount loantoa bankthat previouslyhadnoexcess reserves,the bankcannow increase its loans by",$10.,$100.,$100times the reciprocal ofthe requiredreserve ratio.,$100times the requiredreserve ratio.,B,
multiple_choice,7,"Inthe simple deposit expansionmodel,ifthe Fedextends a $100discount loantoa bankthat previouslyhadnoexcess reserves,deposits inthe bankingsystem canpotentiallyincrease by",$10.,$100.,$100times the reciprocal ofthe requiredreserve ratio.,$100times the requiredreserve ratio.,C,
multiple_choice,9,The simple deposit multipliercanbe expressedas the ratioofthe,change inreserves inthe bankingsystem dividedbythe change indeposits.,change indeposits dividedbythe change inreserves inthe bankingsystem.,requiredreserve ratiodividedbythe change inreserves inthe bankingsystem.,change indeposits dividedbythe requiredreserve ratio.,B,
multiple_choice,10,"Ifreserves inthe bankingsystem increase by$100,thencheckable deposits will increase by $1,000inthe simple model ofdeposit creationwhenthe requiredreserve ratiois",0.01.,0.10.,0.05.,0.20.,B,
multiple_choice,11,"Ifreserves inthe bankingsystem increase by$100,thencheckable deposits will increase by $500inthe simple model ofdeposit creationwhenthe requiredreserve ratiois",0.01.,0.10.,0.05.,0.20.,D,
multiple_choice,12,"Ifthe requiredreserve ratiois 10percent,the simple deposit multiplieris",5.0.,2.5.,100.0.,10.0.,D,
multiple_choice,14,"Ifthe requiredreserve ratiois 20percent,the simple deposit multiplieris",5.0.,2.5.,4.0.,10.0.,A,
multiple_choice,15,"Ifthe requiredreserve ratiois 25percent,the simple deposit multiplieris",5.0.,2.5.,4.0.,10.0.,C,
multiple_choice,16,A simple deposit multiplierequal toone implies a requiredreserve ratioequal to,100percent.,50percent.,25percent.,0percent.,A,
multiple_choice,17,A simple deposit multiplierequal totwoimplies a requiredreserve ratioequal to,100percent.,50percent.,25percent.,0percent.,B,
multiple_choice,19,"Inthe simple deposit expansionmodel,ifthe bankingsystem has excess reserves of$75,and the requiredreserve ratiois 20%,the potential expansionofcheckable deposits is",$75.,$750.,$37.50.,$375.,D,
multiple_choice,20,"Inthe simple deposit expansionmodel,ifthe requiredreserve ratiois 20percent andthe Fed increases reserves by$100,checkable deposits canpotentiallyexpandby",$100.,$250.,$500.,"$1,000.",C,
