type,question_number,question,option_A,option_B,option_C,option_D,correct_answer,answer_text
multiple_choice,12,"Ifthemoneysupplyis$2trillionandvelocityis5,thennominalGDPis",$1trillion.,$2trillion.,$5trillion.,$10trillion.,D,
multiple_choice,13,"Ifthemoneysupplyis$20trillionandvelocityis2,thennominalGDPis",$2trillion.,$10trillion.,$20trillion.,$40trillion.,D,
multiple_choice,14,Velocityisdefinedas,P+M+Y.,(P×M)/Y.,(Y×M)/P.,(P×Y)/M.,D,
multiple_choice,16,Theequationofexchangestatesthatthequantityofmoneymultipliedbythenumberof timesthismoneyisspentinagivenyearmustequal,nominalincome.,realincome.,realgrossnationalproduct.,velocity.,A,
multiple_choice,17,"Intheequationofexchange,theconceptthatprovidesthelinkbetweenMandPYiscalled",thevelocityofmoney.,aggregatedemand.,aggregatesupply.,themoneymultiplier.,A,
multiple_choice,18,Theequationofexchangeis,M×P=V×Y.,M+V=P+Y.,M+Y=V+P.,M×V=P×Y.,D,
multiple_choice,19,IrvingFishertooktheviewthattheinstitutionalfeaturesoftheeconomywhichaffect velocitychange________overtimesothatvelocitywillbefairly________intheshortrun.,rapidly;erratic,rapidly;stable,slowly;stable,slowly;erratic,C,
multiple_choice,21,Theclassicaleconomists'conclusionthatnominalincomeisdeterminedbymovementsin themoneysupplyrestedontheirbeliefthat________couldbetreatedas________intheshort run.,velocity;constant,velocity;variable,money;constant,money;variable,A,
multiple_choice,22,"Theviewthatvelocityisconstantintheshortruntransformstheequationofexchangeinto thequantitytheoryofmoney.Accordingtothequantitytheoryofmoney,whenthemoney supplydoubles",velocityfallsby50percent.,velocitydoubles.,nominalincomesfallsby50percent.,nominalincomedoubles.,D,
multiple_choice,23,Cuttingthemoneysupplybyone-thirdispredictedbythequantitytheoryofmoneytocause,"asharpdeclineinrealoutputofone-thirdintheshortrun,andafallinthepricelevelbyone- thirdinthelongrun.",adeclineinrealoutputbyone-third.,"adeclineinoutputbyone-sixth,andadeclineinthepricelevelofone-sixth.",adeclineinthepricelevelbyone-third.,D,
multiple_choice,25,Theclassicaleconomists'contentionthatpricesdoublewhenthemoneysupplydoublesis predicatedonthebeliefthatintheshortrunvelocityis________andrealGDPis________.,constant;constant,constant;variable,variable;variable,variable;constant,A,
multiple_choice,26,"Fortheclassicaleconomists,thequantitytheoryofmoneyprovidedanexplanationof movementsinthepricelevel.Changesinthepricelevelresult",fromproportionalchangesinthequantityofmoney.,primarilyfromchangesinthequantityofmoney.,onlypartiallyfromchangesinthequantityofmoney.,fromchangesinfactorsotherthanthequantityofmoney.,A,
multiple_choice,27,"Ifinitiallythemoneysupplyis$1trillion,velocityis5,thepricelevelis1,andrealGDPis $5trillion,anincreaseinthemoneysupplyto$2trillion",increasesrealGDPto$10trillion.,causesvelocitytofallto2.5.,increasesthepricelevelto2.,increasesthepricelevelto2andvelocityto10.,C,
multiple_choice,29,Accordingtothequantitytheoryofmoneydemand,anincreaseininterestrateswillcausethedemandformoneytofall.,adecreaseininterestrateswillcausethedemandformoneytoincrease.,interestrateshavenoeffectonthedemandformoney.,anincreaseinmoneywillcausethedemandformoneytofall.,C,
multiple_choice,30,"Fisher'squantitytheoryofmoneysuggeststhatthedemandformoneyispurelyafunctionof ________,and________noeffectonthedemandformoney.",income;interestrateshave,interestrates;incomehas,governmentspending;interestrateshave,expectations;incomehas,A,
multiple_choice,31,"________quantitytheoryofmoneysuggeststhatthedemandformoneyispurelyafunction ofincome,andinterestrateshavenoeffectonthedemandformoney.",Keynes's,Fisher's,Friedman's,Tobin's,B,
multiple_choice,33,Thequantitytheoryofinflationindicatesthattheinflationrateequals,thegrowthrateofthemoneysupplyminusthegrowthrateofaggregateoutput.,thelevelofthemoneysupplyminusthelevelofaggregateoutput.,thegrowthrateofthemoneysupplyplusthegrowthrateofaggregateoutput.,thelevelofthemoneysupplyplusthelevelofaggregateoutput.,A,
multiple_choice,34,"Thequantitytheoryofinflationindicatesthatiftheaggregateoutputisgrowingat3%per yearandthegrowthrateofmoneyis5%,theninflationis",2%.,8%.,-2%.,1.6%.,A,
multiple_choice,35,Empiricalevidenceshowsthatthequantitytheoryofmoneyisagoodtheoryofinflation,"inthelongrun,butnotintheshortrun.","intheshortrun,butnotinthelongrun.",inboththelongrunandtheshortrun.,notineitherthelongrunnortheshortrun.,A,
multiple_choice,1,"Methodsoffinancinggovernmentspendingaredescribedbyanexpressioncalledthe governmentbudgetconstraint,whichstatesthefollowing",thegovernmentbudgetdeficitmustequalthesumofthechangeinthemonetarybaseandthe changeingovernmentbondsheldbythepublic.,thegovernmentbudgetdeficitmustequalthedifferencebetweenthechangeinthemonetary baseandthechangeingovernmentbondsheldbythepublic.,thegovernmentbudgetdeficitmustequalthedifferencebetweenthechangeinthemonetary baseandthechangeingovernmentbondsheldbytheFed.,thegovernmentbudgetdeficitmustequalthedifferencebetweenthechangeinthemonetary baseandthechangeingovernmentbondsheldbytheTreasury.,A,
multiple_choice,2,"Methodsoffinancinggovernmentspendingaredescribedbyanexpressioncalledthe governmentbudgetconstraint,whichstatesthefollowing",DEFICIT=(G-T)=ΔMB+ΔBONDS.,DEFICIT=(G-T)=ΔMB-ΔBONDS.,DEFICIT=(G-T)=ΔBONDS-ΔMB.,DEFICIT=(G-T)=ΔMB/ΔBONDS.,A,
multiple_choice,3,"Ifthegovernmentfinancesitsspendingbyissuingdebttothepublic,themonetarybasewill ________andthemoneysupplywill________.",increase;increase,increase;decrease,decrease;increase,notchange;notchange,D,
multiple_choice,4,"Ifthegovernmentfinancesitsspendingbysellingbondstothecentralbank,themonetary basewill________andthemoneysupplywill________.",increase;increase,increase;decrease,decrease;decrease,notchange;notchange,A,
multiple_choice,6,"Financinggovernmentspendingbysellingbondstothepublic,whichpaysforthebondswith currency,",leadstoapermanentdeclineinthemonetarybase.,leadstoapermanentincreaseinthemonetarybase.,leadstoatemporaryincreaseinthemonetarybase.,hasnoneteffectonthemonetarybase.,D,
multiple_choice,7,Thefinancingofgovernmentspendingbyissuingdebt,causesbothreservesandthemonetarybasetorise.,causesbothreservesandthemonetarybasetodecline.,"causesreservestorise,butthemonetarybasetodecline.",hasnoneteffectonthemonetarybase.,D,
multiple_choice,8,ThefinanceofgovernmentspendingthroughaTreasurysaleofbondswhicharethen purchasedbytheFed,causesbothreservesandthemonetarybasetorise.,causesbothreservesandthemonetarybasetodecline.,"causesreservestorise,butthemonetarybasetodecline.",hasnoneteffectonthemonetarybase.,A,
multiple_choice,10,Onlywhenbudgetdeficitsarefinancedbymoneycreationdoestheincreasedgovernment spendingleadto________inthe________.,adecrease;monetarybase,anincrease;monetarybase,adecrease;moneymultiplier,anincrease;moneymultiplier,B,
multiple_choice,11,"Ifthedeficitisfinancedbysellingbondstothe________,themoneysupplywill________, increasingaggregatedemand,andleadingtoariseinthepricelevel.",public;rise,public;fall,centralbank;rise,centralbank;fall,C,
multiple_choice,12,"Ifthedeficitisfinancedbysellingbondstothe________,themoneysupplywill________, causingaggregatedemandto________.",public;rise;increase,public;fall;decrease,centralbank;rise;increase,centralbank;fall;decrease,C,
multiple_choice,14,"""ModernMonetaryTheory""arguesthat""GreenNewDeal""canbeeasilypaidforbyhaving ________buygovernmentbondstofundtheresultinglargebudgetdeficits.",foreigners,bigbanks,theFed,corporates,C,
multiple_choice,15,"""Modern Monetary Theory"" argues that the large budget deficit that results from a large increase in government spending can be paid for by selling bonds to the ________. This financing of a persistent budget deficit leads a ________ growth of money supply and very ________inflation.",public;high;high,public;low;low,centralbank;high;high,centralbank;low;low,C,
multiple_choice,16,"""Modern Monetary Theory"" argues that the large budget deficit that results from a large increase in government spending can be paid for by selling bonds to the ________. This financing of a persistent budget deficit leads a ________ growth of money supply and very ________inflation.",public;high;high,public;low;low,centralbank;high;high,centralbank;low;low,C,
multiple_choice,1,TheKeynesiantheoryofmoneydemandemphasizestheimportanceof,aconstantvelocity.,irrationalbehavioronthepartofsomeeconomicagents.,interestratesonthedemandformoney.,expectations.,C,
multiple_choice,2,Keyneshypothesizedthatthetransactionscomponentofmoneydemandwasprimarily determinedbythelevelof,interestrates.,velocity.,income.,stockmarketprices.,C,
multiple_choice,3,"Keynesarguedthatthetransactionscomponentofthedemandformoneywasprimarily determinedbythelevelofpeople's________,whichhebelievedwereproportionalto________.",transactions;income,transactions;age,incomes;wealth,incomes;age,A,
multiple_choice,5,"Keynesarguedthattheprecautionarycomponentofthedemandformoneywasprimarily determinedbythelevelofpeople's________,whichhebelievedwereproportionalto________.",incomes;wealth,incomes;age,transactions;income,transactions;age,C,
multiple_choice,6,Thedemandformoneyasacushionagainstunexpectedcontingenciesiscalledthe,transactionsmotive.,precautionarymotive.,insurancemotive.,speculativemotive.,B,
multiple_choice,7,Keyneshypothesizedthatthespeculativecomponentofmoneydemandwasprimarily determinedbythelevelof,interestrates.,velocity.,income.,stockmarketprices.,A,
multiple_choice,8,Thespeculativemotiveforholdingmoneyiscloselytiedtowhatfunctionofmoney?,storeofwealth,unitofaccount,mediumofexchange,standardofdeferredpayment,A,
multiple_choice,10,"BecauseKeynesassumedthattheexpectedreturnonmoneywaszero,hearguedthatpeople would",neverholdmoney.,neverholdmoneyasastoreofwealth.,holdmoneyasastoreofwealthwhentheexpectedreturnonbondswasnegative.,holdmoneyasastoreofwealthonlywhenforcedtobygovernmentpolicy.,C,
multiple_choice,11,TheKeynesiantheoryofmoneydemandpredictsthatpeoplewillincreasetheirmoney holdingsiftheybelievethat,interestratesareabouttofall.,bondpricesareabouttorise.,expectedinflationisabouttofall.,bondpricesareabouttofall.,D,
multiple_choice,12,"Ifpeopleexpectnominalinterestratestobehigherinthefuture,theexpectedreturntobonds ________,andthedemandformoney________.",rises;increases,rises;decreases,falls;increases,falls;decreases,C,
multiple_choice,14,"Keynesarguedthatwheninterestrateswerelowrelativetosomenormalvalue,people wouldexpectbondpricesto________sothequantityofmoneydemandedwould________.",increase;increase,increase;decrease,decrease;increase,decrease;decrease,C,
multiple_choice,15,"Keynesarguedthatwheninterestrateswerehighrelativetosomenormalvalue,people wouldexpectbondpricesto________,sothequantityofmoneydemandedwould________.",increase;increase,increase;decrease,decrease;decrease,decrease;increase,B,
multiple_choice,16,"AccordingtoKeynes'stheoryofliquiditypreference,velocityincreaseswhen",incomeincreases.,wealthincreases.,brokeragecommissionsincrease.,interestratesincrease.,D,
multiple_choice,17,Keynes'stheoryofthedemandformoneyimpliesthatvelocityis,notconstantbutfluctuateswithmovementsininterestrates.,notconstantbutfluctuateswithmovementsinthepricelevel.,notconstantbutfluctuateswithmovementsinthetimeofyear.,aconstant.,A,
multiple_choice,19,Keynes'sliquiditypreferencetheoryindicatesthatthedemandformoney,"ispurelyafunctionofincome,andinterestrateshavenoeffectonthedemandformoney.","ispurelyafunctionofinterestrates,andincomehasnoeffectonthedemandformoney.",isafunctionofbothincomeandinterestrates.,isafunctionofbothgovernmentspendingandincome.,C,
multiple_choice,20,Keynes'stheoryofthedemandformoneyisconsistentwith,countercyclicalmovementsinvelocity.,aconstantvelocity.,procyclicalmovementsinvelocity.,arelativelystablevelocity.,C,
multiple_choice,21,Keynes'stheoryofthedemandformoneyisconsistentwith________movementsin ________.,countercyclical;velocity,procyclical;velocity,countercyclical;expectations,procyclical;expectations,B,
multiple_choice,22,Keynes'smodelofthedemandformoneysuggeststhatvelocityis,constant.,positivelyrelatedtointerestrates.,negativelyrelatedtointerestrates.,positivelyrelatedtobondvalues.,B,
multiple_choice,24,Keynes'smodelofthedemandformoneysuggeststhatvelocityis________relatedto ________.,positively;interestrates,negatively;interestrates,positively;bondvalues,positively;stockprices,A,
multiple_choice,25,Keynes'sliquiditypreferencetheoryindicatesthatthedemandformoneyis________ relatedto________.,negatively;interestrates,positively;interestrates,negatively;income,negatively;wealth,A,
multiple_choice,26,TheKeynesiandemandforrealbalancescanbeexpressedas,"Md=f(i,Y).",Md/P=f(i).,Md/P=f(Y).,"Md/P=f(i,Y).",D,
multiple_choice,1,Theportfoliotheoriesofmoneydemandstatethatthedemandforrealmoneybalancesis ________relatedtoincomeand________relatedtothenominalinterestrate.,positively;negatively,positively;positively,negatively;negatively,negatively;positively,A,
multiple_choice,2,"Theportfoliotheoriesofmoneydemandstatethatwhenincome(andtherefore,wealth)is higher,thedemandforthemoneyassetwill________andthedemandforrealmoneybalances willbe________.",rise;higher,rise;lower,fall;higher,fall;lower,A,
multiple_choice,3,"Asinterestratesrise,theexpectedabsolutereturnofmoney________,money'sexpected returnrelativetobonds________.",doesnotchange;decrease,rises;decrease,doesnotchange;increase,falls;decrease,A,
multiple_choice,5,Thetheoryofportfoliochoiceindicatesthatfactorsaffectingthedemandformoneyinclude,income.,nominalinterestrate.,liquidityofotherassets.,alltheabove.,D,
multiple_choice,6,Thetheoryofportfoliochoiceindicatesthatfactorsaffectingthedemandformoneyinclude,income.,nominalinterestrate.,riskinessofmoney.,alltheabove.,D,
multiple_choice,1,"Theevidenceontheinterestsensitivityofthedemandformoneysuggeststhatthedemandfor moneyis________tointerestrates,andthereis________evidencethataliquiditytrapexists.",sensitive;substantial,sensitive;little,insensitive;substantial,insensitive;little,B,
multiple_choice,2,Intheliquiditytrapasmallchangeininterestratesproduces________changeinthequantity ofmoneydemanded.,asmall,no,aproportionate,averylarge,D,
multiple_choice,3,"Inaliquiditytrap,monetarypolicyhas________effectonaggregatespendingbecausea changeinthemoneysupplyhas________effectoninterestrates.",no;no,no;alarge,no;asmall,alarge;alarge,A,
multiple_choice,4,"Intheliquiditytrap,monetarypolicy",hasalargeimpactoninterestrates.,hasasmallimpactoninterestrates.,hasnoimpactoninterestrates.,hasaproportionateimpactoninterestrates.,C,
multiple_choice,6,Evidencesuggeststhataliquiditytrapispossiblewhen,realinterestratesareatzero.,realinterestratesareatorjustabovezero.,nominalinterestratesareatzero.,nominalinterestratesareatorjustabovezero.,C,
multiple_choice,7,"Thereasonthateconomistsaresointerestedinthestabilityofvelocityisbecauseifthe demandformoneyisnotstable,thensteadygrowthofthemoneysupply",isgoingtopromotepricestabilityattheexpenseoflowunemployment.,isgoingtopromotelowunemploymentattheexpenseofpricestability.,isanineffectivewaytoconductmonetarypolicy.,canstillbeusedtoconductmonetarypolicyifthegoalispricestability.,C,
essay,8,Describewhattheliquiditytrapis.Explainhowitcanbeproblematicformonetary policymakers.,,,,,,"Theliquiditytrapdescribesthesituationinwhichthedemandformoneyisinsensitive tochangesininterestrates(i.e.,themoneydemandcurveisinfinitelyelastic).Inthiscase, monetarypolicyhasnodirectaffectonaggregatespendingbecauseachangeinthemoney supplywillnotaffectinterestrates. QuestionStatus: PreviousEdition AACSB: ReflectiveThinking 1 Copyright©2022PearsonEducation,Ltd.The Economics ofMoney,BankingandFinancial Markets,13e (Mishkin), Global Edition Chapter 21 The IS Curve 21.1 PlannedExpenditureandAggregateDemand"
multiple_choice,1,"Hisanalysisstartedwiththerecognitionthatthetotalquantitydemandedofaneconomy's outputwasthesumoffourtypesofspending:consumerexpenditure,plannedinvestment spending,governmentspending,andnetexports.",JohnMaynardKeynes,SirJohnHicks,MiltonFriedman,PaulA.Samuelson,A,
multiple_choice,2,Keynes'smotivationindevelopingtheaggregateoutputdeterminationmodelstemmedfrom hisconcernwithexplaining,thehyperinflationsofthe1920s.,whytheGreatDepressionoccurred.,thehighunemploymentinGreatBritainbeforeWorldWarI.,thehighunemploymentinGreatBritainafterWorldWarII.,B,
multiple_choice,3,Keyneswasespeciallyinterestedinexplainingmovementsof________becausehewantedto explainwhytheGreatDepressionhadoccurredandhowgovernmentpolicycouldbeusedto increase________inasimilareconomicsituation.,aggregateoutput;wages,aggregateoutput;employment,wagerates;wages,wagerates;employment,B,
multiple_choice,5,Keyneswasespeciallyconcernedwithexplainingthe________levelofoutputand employmentduringthe________.,low;1920s,low;1930s,high;1920s,high;1930s,B,
multiple_choice,6,"InthesimpleKeynesianmodel,equilibriumaggregateoutputisdeterminedby",aggregatedemand.,aggregatesupply.,thenationaldemandforlabor.,thepricelevel.,A,
multiple_choice,7,"UnderKeynesiananalysis,aggregatedemandcanbewrittenas",Yad=C+I+G+NX.,Yad=C+I+G-NX.,Yad=C-I-G-NX.,Yad=C+I-G-NX.,A,
multiple_choice,1,Keynesreasonedthatconsumerexpenditureismostcloselyrelatedto,thelevelofinterestrates.,thepricelevel.,disposableincome.,themarginaltaxrate.,C,
multiple_choice,2,"IntheKeynesianmodelofincomedetermination,consumerexpenditureincludesspendingby",consumersonpersonalcomputers.,businessesonpersonalcomputers.,governmentsonpersonalcomputers.,foreignersondomesticpersonalcomputers.,A,
multiple_choice,3,Themarginalpropensitytoconsume(mpc)canbedefinedasthefractionof,achangeinincomethatisspent.,achangeinincomethatissaved.,incomethatisspent.,incomethatissaved.,A,
multiple_choice,4,"IftheconsumptionfunctionisexpressedasC=a+mpc×Y D,then""mpc""represents",autonomousconsumerexpenditure.,themarginalpropensitytoconsume.,theexpendituremultiplier.,disposableincome.,B,
multiple_choice,5,"IftheconsumptionfunctionisexpressedasC=a+mpc×Y D,then""a""represents",autonomousconsumerexpenditure.,themarginalpropensitytoconsume.,theexpendituremultiplier.,disposableincome.,A,
multiple_choice,7,"IftheconsumptionfunctionisC=20+0.8Y D,thenanincreaseindisposableincomeby $100willresultinanincreaseinconsumerexpenditureby",$58.,$64.,$80.,$100.,C,
multiple_choice,8,"Assumethatautonomousconsumptionequals$200andthatthempcequals0.8.Ifdisposable incomeequals$1,000,thentotalconsumptionequals",$80.,$200.,$800.,"$1,000.",D,
multiple_choice,9,"Assumethatautonomousconsumptionequals$200anddisposableincomeequals$1,000.If totalconsumptionequal$800,thenthempcequals",0.2.,0.6.,0.8.,1.0.,B,
multiple_choice,11,"Everythingelseheldconstant,iftotalconsumptionincreasesfrom$600to$800becauseof anincreaseofdisposableincomeof$400,thenthempcisequalto",0.2.,0.4.,0.5.,0.6.,C,
multiple_choice,12,"Everythingelseheldconstant,ifconsumptionexpenditureincreasesby65fora100increase indisposableincome,thempcis",0.,0.5.,0.65.,1.,C,
multiple_choice,13,"Everythingelseheldconstant,ifdisposableincomeincreasesby200andconsumption expenditureincreasesby150,thempcis",0.,0.15.,0.5.,0.75.,D,
multiple_choice,15,Economistsdefineinvestmentasthepurchaseof,anewphysicalassetsuchasanewmachineoranewhouse.,"anyphysicalasset,whethernewornot,usedbybusinesstoincreaseproduction.",anyphysicalassetusedbybusinesstoincreaseproductionandtherepurchaseofcommon stock.,businessspendingoncapitalandhouseholdspendingondurablegoods.,A,
multiple_choice,16,"Plannedinvestmentspending,acomponentofaggregatedemand,isequalto",fixedinvestmentplusactualinventoryinvestment.,fixedinvestmentplusunplannedinventoryinvestment.,fixedinvestment.,fixedinvestmentplusplannedinventoryinvestment.,D,
multiple_choice,17,"Therearetwotypesofinvestment:________investment—thespendingbybusinessfirmson equipmentandstructures,andplannedspendingonresidentialhouses—and________ investment—spendingbybusinessfirmsonadditionalholdingsofrawmaterials,parts,and finishedgoods.",planned;gross,planned;inventory,fixed;gross,fixed;inventory,D,
multiple_choice,19,Adifferencebetweeninventoryinvestmentandfixedinvestmentisthat,fixedinvestmentisneverunplanned.,fixedinvestmentisneverplanned.,inventoryinvestmentisneverunplanned.,unplannedinventoryinvestmentisalwayszero.,A,
