type,question_number,question,option_A,option_B,option_C,option_D,correct_answer
multiple_choice,6,"Chín giám đốc của Ngân hàng Dự trữ Liên bang được chia thành ba loại: ________ là nhân viên ngân hàng chuyên nghiệp ________ là các nhà lãnh đạo từ ind ustry và ________ đại diện cho lợi ích công cộng và không được phép là cán bộ, nhân viên hoặc cổ đông của ngân hàng.",5; 2; 2,2; 5; 2,4; 2; 3,3; 3; 3,D
multiple_choice,7,Các ngân hàng thương mại thành viên đã mua cổ phiếu tại các ngân hàng Fed cấp huyện của họ; Cổ tức được trả bởi cổ phiếu đó được pháp luật giới hạn ở mức ________ phần trăm hàng năm.,Bốn,Năm,Sáu,Tám,C
multiple_choice,8,Ngân hàng Dự trữ Liên bang ________ có bàn thị trường mở.,Boston,New York,Chicago,San Francisco,B
multiple_choice,9,Chủ tịch Ngân hàng Dự trữ Liên bang nào có quyền bỏ phiếu trong Ủy ban Thị trường Mở Liên bang?,Philadelphia,Boston,San Francisco,New York,D
multiple_choice,10,Một chức năng quan trọng của các Ngân hàng dự trữ R Liên bang khu vực là,đặt yêu cầu dự trữ.,thanh toán bù trừ séc.,xác định chính sách tiền tệ.,đặt yêu cầu ký quỹ.,B
multiple_choice,11,Chức năng nào sau đây KHÔNG được thực hiện bởi bất kỳ ngân hàng nào trong số mười hai Ngân hàng Dự trữ Liên bang khu vực?,Kiểm tra bù trừ,tiến hành nghiên cứu kinh tế,Thiết lập lãi suất phải trả tiền gửi có kỳ hạn,phát hành đơn vị tiền tệ mới,C
multiple_choice,12,Tất cả các ________ bắt buộc phải là thành viên của Fed.,Ngân hàng điều lệ nhà nước,các ngân hàng quốc gia được điều lệ bởi Văn phòng Kiểm soát tiền tệ,ngân hàng có tài sản dưới 100 triệu đô la,ngân hàng có tài sản dưới 500 triệu đô la,B
multiple_choice,13,"Trong số tất cả các ngân hàng thương mại, khoảng ________ ngân hàng thuộc Hệ thống Dự trữ Liên bang.",0.1,một nửa,một phần ba,0.9,C
multiple_choice,14,"Trước năm 1980, các ngân hàng thành viên rời khỏi Hệ thống dự trữ Liên bang do",chi phí cho vay chiết khấu cao.,chi phí dự trữ yêu cầu cao.,mong muốn tránh các quy định về lãi suất.,mong muốn tránh kiểm soát tín dụng.,B
multiple_choice,15,Sự ủng hộ của Fed đối với Đạo luật Kiểm soát Tiền tệ và Bãi bỏ Quy định của Tổ chức Lưu ký năm 1980 một phần bắt nguồn từ,lo ngại về việc giảm tư cách thành viên Fed.,tin rằng tất cả các quy định ngân hàng nên được áp dụng.,tin rằng trần lãi suất quá cao.,tin rằng người gửi tiền phải trở nên hiểu biết hơn về hoạt động ngân hàng.,A
multiple_choice,16,Các ngân hàng phải tuân theo các yêu cầu dự trữ do Hệ thống Dự trữ Liên bang đặt ra bao gồm,chỉ các ngân hàng được điều lệ trên toàn quốc.,chỉ các ngân hàng có tài sản dưới 100 triệu USD.,chỉ các ngân hàng có tài sản dưới 500 triệu USD.,tất cả các ngân hàng cho dù họ có phải là thành viên của Hệ thống Dự trữ Liên bang hay không.,D
multiple_choice,17,Đạo luật bãi bỏ quy định của các tổ chức lưu ký và kiểm soát tiền tệ Mo năm 1980,thiết lập yêu cầu dự trữ cao hơn đối với Nonm Ember so với các ngân hàng thành viên.,thiết lập yêu cầu dự trữ cho MEMB ER cao hơn so với các ngân hàng không phải thành viên.,bãi bỏ yêu cầu dự trữ.,thiết lập các yêu cầu dự trữ thống nhất cho tất cả các ngân hàng.,D
multiple_choice,18,Có ________ thành viên của Hội đồng quản trị Gove rnors của Hệ thống Dự trữ Liên bang.,5,7,12,19,B
multiple_choice,19,Các thành viên của Hội đồng Thống đốc là,do chủ tịch Ngân hàng Dự trữ Liên bang lựa chọn.,"được bổ nhiệm bởi tổng thống mới đắc cử của Hoa Kỳ, cũng như các vị trí nội các.",do tổng thống Hoa Kỳ bổ nhiệm và được Thượng viện xác nhận.,không bao giờ được chấp hành quá 7 năm.,C
multiple_choice,20,Mỗi thống đốc trong Hội đồng Thống đốc có thể phục vụ,chỉ có một nhiệm kỳ mười bốn năm không thể gia hạn.,Một thời hạn mười bốn năm không thể gia hạn đầy đủ cộng với PA RT của một thời hạn khác.,chỉ có một thời hạn tám năm không thể gia hạn.,một nhiệm kỳ tám năm không thể gia hạn đầy đủ cộng với một phần của một nhiệm kỳ khác.,B
multiple_choice,21,"Chủ tịch Hội đồng Thống đốc được chọn trong số bảy thống đốc và phục vụ một nhiệm kỳ ________, có thể gia hạn.",một năm,hai năm,bốn năm,tám năm,C
multiple_choice,22,"Mặc dù tỷ lệ chiết khấu được ""thiết lập"" bởi các Ngân hàng Dự trữ Liên bang khu vực, nhưng trên thực tế, tỷ lệ được xác định bởi",Quốc hội.,tổng thống Hoa Kỳ.,Thượng viện.,Hội đồng Thống đốc.,D
multiple_choice,23,Nhiệm vụ nào sau đây là nhiệm vụ của Hội đồng Thống đốc của Hệ thống Dự trữ Liên bang?,"đặt yêu cầu ký quỹ, phần giá mua chứng khoán phải thanh toán bằng tiền mặt",thiết lập lãi suất tối đa phải trả đối với các loại tiền gửi có kỳ hạn theo Quy định Q,điều chỉnh tín dụng với sự chấp thuận của chủ tịch theo Đạo luật Kiểm soát Tín dụng năm 1969,Tất cả các thống đốc đều tư vấn cho tổng thống Hoa Kỳ về chính sách kinh tế.,A
multiple_choice,24,Điều nào sau đây KHÔNG phải là nhiệm vụ hiện tại của Hội đồng Thống đốc của Hệ thống Dự trữ Liên bang?,"đặt yêu cầu ký quỹ, phần giá mua chứng khoán phải thanh toán bằng tiền mặt",thiết lập lãi suất tối đa phải trả đối với các loại tiền gửi có kỳ hạn theo Quy định Q,"phê duyệt tỷ lệ chiết khấu do các ngân hàng Dự trữ Liên bang ""thiết lập""",Biểu quyết về việc tiến hành các hoạt động thị trường mở,B
multiple_choice,25,Ủy ban Thị trường Mở Liên bang thường họp ________ lần một năm.,Bốn,Sáu,Tám,Mười hai,C
multiple_choice,26,Tổ chức Cục Dự trữ Liên bang đưa ra quyết định liên quan đến việc tiến hành các hoạt động thị trường mở là,Hội đồng Thống đốc.,Chủ tịch Hội đồng Thống đốc.,Ủy ban Thị trường Mở Liên bang.,Hội đồng tư vấn thị trường mở.,C
multiple_choice,27,Ủy ban Thị trường Mở Liên bang bao gồm các cơ quan,năm thành viên cấp cao của Hội đồng Thống đốc gồm bảy thành viên.,bảy thành viên của Hội đồng Thống đốc và chủ tịch của các ngân hàng Fed khu vực.,bảy thành viên của Hội đồng Thống đốc và năm chủ tịch của các ngân hàng Fed khu vực.,mười hai chủ tịch ngân hàng Fed khu vực và chai rman của Hội đồng Thống đốc.,C
multiple_choice,28,Đa số các thành viên của Ủy ban Mar ket Mở rộng Liên bang là,Chủ tịch Ngân hàng Dự trữ Liên bang.,các thành viên của Hội đồng Cố vấn Liên bang.,Chủ tịch các ngân hàng thành viên.,bảy thành viên của Hội đồng Thống đốc.,D
multiple_choice,29,"Mỗi chủ tịch ngân hàng Fed tham dự các cuộc họp của FOMC; Mặc dù chỉ ________ chủ tịch ngân hàng Fed bỏ phiếu về chính sách, tất cả ________ đều cung cấp INP UT.",Ba; Mười,Năm; Mười,Ba; Mười hai,Năm; Mười hai,D
multiple_choice,30,"Mặc dù các yêu cầu dự trữ và tỷ lệ chiết khấu không thực sự do ________ đặt ra, nhưng các quyết định liên quan đến các công cụ chính sách này được thực hiện có hiệu lực ở đó.",Ngân hàng Dự trữ Liên bang New York,Hội đồng quản trị,Ủy ban Thị trường Mở Liên bang,Ngân hàng Dự trữ Liên bang,C
multiple_choice,31,Tài liệu nghiên cứu được cung cấp cho Ủy ban Thị trường Mở Liên bang có chứa thông tin về tình trạng của nền kinh tế ở mỗi khu vực của Cục Dự trữ Liên bang được gọi là,sách màu be.,Sách xanh.,sách xanh.,sách đen.,A
multiple_choice,32,Cuốn sách màu xanh mòng két là tài liệu nghiên cứu của Fed tiếp tục,dự báo các biến số kinh tế quốc gia trong ba năm tới.,Dự báo tổng hợp tiền có điều kiện dựa trên các lập trường chính sách tiền tệ khác nhau.,thông tin về tình trạng kinh tế ở mỗi quận của Cục Dự trữ Liên bang.,"cả A và B. E) A, B và C.",D
multiple_choice,33,"""Cán cân rủi ro"" của Ủy ban Thị trường Mở Liên bang là một đánh giá về việc liệu trong tương lai, mối quan tâm chính của họ có phải là",tỷ giá hối đoái cao hơn hoặc tỷ lệ thất nghiệp cao hơn.,lạm phát cao hơn hoặc nền kinh tế mạnh hơn.,lạm phát cao hơn hoặc nền kinh tế yếu hơn.,lạm phát thấp hơn hoặc nền kinh tế mạnh hơn.,C
multiple_choice,34,"Tùy thuộc vào sự chấp thuận của Hội đồng Thống đốc, quyết định lựa chọn chủ tịch Ngân hàng Dự trữ Liên bang cấp huyện được đưa ra bởi",tất cả chín giám đốc ngân hàng huyện.,Sáu giám đốc ngân hàng quận do các ngân hàng M ember bầu ra.,ba giám đốc ngân hàng quận là nhân viên ngân hàng chuyên nghiệp.,"Giám đốc ngân hàng huyện không phải là nhân viên ngân hàng chuyên nghiệp. E) Giám đốc loại A, loại B.",D
multiple_choice,1,Tính độc lập của công cụ là khả năng của các ______ __ để thiết lập ________ chính sách tiền tệ.,ngân hàng trung ương; Mục tiêu,Quốc hội; Mục tiêu,Quốc hội; Cụ,ngân hàng trung ương; Cụ,D
multiple_choice,2,Khả năng của ngân hàng trung ương để thiết lập các công cụ tiền tệ là,độc lập chính trị.,mục tiêu độc lập.,độc lập chính sách.,tính độc lập của công cụ.,D
multiple_choice,3,Độc lập mục tiêu là khả năng ________ thiết lập ________ chính sách tiền tệ.,ngân hàng trung ương; Mục tiêu,Quốc hội; Mục tiêu,Quốc hội; Cụ,ngân hàng trung ương; Cụ,A
multiple_choice,4,Khả năng của ngân hàng trung ương trong việc thiết lập các mục tiêu tiền tệ là,độc lập chính trị.,mục tiêu độc lập.,độc lập chính sách.,tính độc lập của công cụ.,B
multiple_choice,5,"Các thành viên của Quốc hội có thể ảnh hưởng đến chính sách tiền tệ, mặc dù gián tiếp, thông qua khả năng của họ",giữ lại các khoản phân bổ từ Hội đồng quản trị hoặc các hoặc.,giữ lại các khoản phân bổ từ Ủy ban Mở rộng Liên bang.,"đề xuất luật buộc Fed phải đệ trình yêu cầu ngân sách lên Quốc hội, cũng như các cơ quan chính phủ khác.",chỉ đạo Tổng cục Kế toán kiểm toán các chức năng thị trường ngoại hối của Cục Dự trữ Liên bang.,C
multiple_choice,6,Tổng thống Hoa Kỳ,có thể thay đổi lãi suất.,có thể tư vấn cho chủ tịch Fed thay đổi lãi suất.,không thể sa thải một chủ tịch Fed một cách hợp pháp.,có thể sa thải chủ tịch Fed khỏi văn phòng.,C
multiple_choice,1,Trường hợp độc lập của Cục Dự trữ Liên bang có bao gồm ý tưởng rằng,Áp lực chính trị sẽ tạo ra xu hướng lạm phát đối với chính sách tiền tệ.,một Fed bị cô lập về mặt chính trị sẽ quan tâm hơn đến các mục tiêu dài hạn và do đó là người bảo vệ đồng đô la lành mạnh và mức giá ổn định.,chính sách luôn được thực hiện tốt hơn bởi một nhóm ưu tú như Fed.,một Cục Dự trữ Liên bang dưới sự kiểm soát của Quốc hội hoặc tổng thống có thể làm cho cái gọi là chu kỳ kinh doanh chính trị rõ ràng hơn.,C
multiple_choice,2,"Chu kỳ kinh doanh chính trị đề cập đến pheno menon mà ngay trước cuộc bầu cử, các chính trị gia ban hành các chính sách ________. Sau cuộc bầu cử, tác động xấu của các chính sách này (ví dụ, ________) phải được chống lại bằng các chính sách ________.",mở rộng; tỷ lệ thất nghiệp cao hơn; co lại y,mở rộng; tỷ lệ lạm phát cao hơn; hợp đồng liên tục,co lại; tỷ lệ thất nghiệp cao hơn; mở rộng y,co lại; tỷ lệ lạm phát cao hơn; Mở rộng,B
multiple_choice,3,Lập luận mạnh mẽ nhất cho một Cục Dự trữ Liên bang độc lập dựa trên quan điểm rằng việc Fed phải chịu nhiều áp lực chính trị hơn sẽ mang lại,thiên vị lạm phát đối với chính sách tiền tệ.,thiên vị giảm phát đối với chính sách tiền tệ.,thiên vị giảm lạm phát đối với chính sách tiền tệ.,một sự thiên vị ngược chu kỳ đối với chính sách tiền tệ.,A
multiple_choice,4,Những người chỉ trích hệ thống độc lập hiện tại của Fed e cho rằng,hệ thống hiện tại là không dân chủ.,cử tri có quá nhiều tiếng nói về chính sách tiền tệ.,Tổng thống có quá nhiều quyền kiểm soát đối với chính sách tiền tệ hàng ngày.,Hội đồng Thống đốc phải chịu trách nhiệm về những sai lầm của p.,A
multiple_choice,5,Nghiên cứu gần đây chỉ ra rằng lạm phát hoạt động (lạm phát thấp) đã được chứng minh là tốt nhất ở các quốc gia có,các ngân hàng trung ương độc lập nhất.,kiểm soát chính trị chính sách tiền tệ.,tài trợ tiền cho thâm hụt ngân sách.,một chính sách luôn giữ lãi suất thấp.,A
multiple_choice,1,Lý thuyết về hành vi quan liêu cho thấy mục tiêu của bộ máy quan liêu là tối đa hóa,phúc lợi của công chúng.,Lợi nhuận.,phúc lợi của chính nó.,xung đột với hành pháp và lập pháp của chính phủ.,C
multiple_choice,2,Lý thuyết về hành vi quan liêu khi áp dụng cho Fed giúp giải thích tại sao Fed,đã ủng hộ những nỗ lực của quốc hội nhằm hạn chế quyền tự chủ của ngân hàng trung ương.,đã rất bí mật về việc thực hiện chính sách mon etary trong tương lai.,tìm kiếm ít quyền kiểm soát hơn đối với các ngân hàng trong những năm 1980.,sẵn sàng đối đầu với các nhóm quyền lực có thể đe dọa quyền tự trị của nó.,B
multiple_choice,1,"Theo Hệ thống Ngân hàng Trung ương Châu Âu, Ban điều hành có cấu trúc tương tự như ________ của Hệ thống Dự trữ Liên bang.",Hội đồng quản trị,Ủy ban Thị trường Mở Liên bang,Ngân hàng Dự trữ Liên bang,Hội đồng Cố vấn Liên bang,A
multiple_choice,2,"Theo Hệ thống Ngân hàng Trung ương châu Âu, Hội đồng quản trị có cấu trúc tương tự như ________ của Hệ thống Dự trữ Liên bang.",Hội đồng quản trị,Ủy ban Thị trường Mở Liên bang,Ngân hàng Dự trữ Liên bang,Hội đồng Cố vấn Liên bang,B
multiple_choice,3,"Theo Hệ thống Ngân hàng Trung ương Châu Âu, Ngân hàng Trung ương Quốc gia có vai trò tương tự như ________ của Hệ thống Dự trữ Liên bang.",Hội đồng quản trị,Ủy ban Thị trường Mở Liên bang,Ngân hàng Dự trữ Liên bang,Hội đồng Cố vấn Liên bang,C
multiple_choice,4,"Các thành viên của Ban điều hành của Ngân hàng Trung ương Châu Âu được bổ nhiệm với nhiệm kỳ ________ năm, không thể gia hạn.",Bốn,Tám,Mười,Mười bốn,B
multiple_choice,5,Tuyên bố nào sau đây so sánh Hệ thống Ngân hàng Trung ương Châu Âu và Hệ thống Dự trữ Liên bang là ĐÚNG?,"Ngân sách của Ngân hàng Dự trữ Liên bang được kiểm soát bởi Hội đồng Thống đốc, trong khi Ngân hàng Trung ương Quốc gia kiểm soát ngân sách của chính họ và ngân sách của Ngân hàng Trung ương Châu Âu.",Ngân hàng Trung ương Châu Âu có quyền lực tương tự đối với các Ngân hàng Trung ương Quốc gia khi so sánh với mức độ quyền lực của Hội đồng Thống đốc đối với Ngân hàng Dự trữ Liên bang.,"Cũng giống như Hệ thống Dự trữ Liên bang, các tỷ lệ tiền tệ được tập trung trong Hệ thống Ngân hàng Trung ương Châu Âu với Ngân hàng Trung ương Châu Âu.",Không có điều nào ở trên.,A
multiple_choice,6,Hội đồng quản trị thường họp ________ lần một năm.,Bốn,Sáu,Tám,Mười hai,D
multiple_choice,7,"Trong Hội đồng quản trị, quyết định thực hiện nội dung nào được đưa ra bởi",đa số phiếu bầu của các thành viên Ban chấp hành.,đa số phiếu bầu của người đứng đầu Ngân hàng Quốc gia.,sự nhất trí.,đa số phiếu bầu của tất cả các thành viên của Công ty Quản trị.,C
multiple_choice,8,Ngân hàng trung ương thường được coi là độc lập nhất trên thế giới vì điều lệ của nó không thể thay đổi bằng luật pháp là,Ngân hàng Anh.,Ngân hàng Canada.,Ngân hàng Trung ương Châu Âu.,Ngân hàng Nhật Bản.,C
multiple_choice,1,"Trên giấy tờ, Ngân hàng Trung ương Canada có ________ sự độc lập về mục tiêu và ________ độc lập về mục tiêu khi so sánh với Cục Dự trữ Liên bang.",kém; kém,kém; nhiều hơn,nhiều hơn; kém,nhiều hơn; nhiều hơn,A
multiple_choice,2,"Ngân hàng trung ương lâu đời nhất, được thành lập vào năm 1694, là",Ngân hàng Anh.,Ngân hàng Bundesbank Đức.,Ngân hàng Nhật Bản.,Hệ thống Dự trữ Liên bang.,A
multiple_choice,3,"Trong khi luật được ban hành vào năm 1998 trao cho Ba nk của Nhật Bản quyền lực mới và quyền tự trị lớn hơn, những người chỉ trích nó cho rằng sự độc lập của nó là",bị giới hạn bởi quyền phủ quyết của Bộ Tài chính đối với một phần ngân sách của mình.,quá lớn vì nó không cần phải theo đuổi chính sách ổn định giá cả ngay cả khi đó là ý chí phổ biến của người dân.,quá lớn vì Bộ Tài chính không còn quyền phủ quyết đối với ngân sách của ngân hàng.,hạn chế vì Bộ Tài chính có thể sa thải các quan chức ngân hàng cấp cao.,A
multiple_choice,4,Về tính độc lập của ngân hàng trung ương,Fed độc lập hơn Ngân hàng Ce Ntral Châu Âu.,Ngân hàng Trung ương Châu Âu độc lập hơn với Fed.,Xu hướng ở các nước công nghiệp hóa là giảm tính độc lập của ngân hàng trung ương.,Ngân hàng Trung ương Anh có truyền thống độc lập lâu đời nhất so với bất kỳ ngân hàng trung ương nào trên thế giới.,B
multiple_choice,5,Xu hướng trong những năm gần đây là ngày càng có nhiều chính phủ,đã và đang trao sự độc lập lớn hơn cho các ngân hàng trung ương của họ.,đã và đang làm giảm tính độc lập của các ngân hàng trung ương của họ để khiến họ phải chịu trách nhiệm hơn về hiệu quả kinh tế kém.,đã yêu cầu các ngân hàng trung ương của họ tập trung vào việc kiểm soát lạm phát.,đã yêu cầu các ngân hàng trung ương của họ hợp tác với Bộ trưởng Tài chính của họ.,A
multiple_choice,6,Tuyên bố nào sau đây về cấu trúc và tính độc lập của ngân hàng trung ương là ĐÚNG?,"Trong những năm gần đây, ngoại trừ Ngân hàng Trung ương Anh và Ngân hàng Trung ương Nhật Bản, hầu hết các quốc gia đã giảm tính độc lập của các ngân hàng quốc gia của họ, khiến họ phải chịu sự kiểm soát dân chủ lớn hơn.","Trước khi Ngân hàng Trung ương Anh được trao quyền phụ thuộc lớn hơn, Cục Dự trữ Liên bang là ngân hàng độc lập nhất trong số các ngân hàng trung ương trên thế giới.",Cả lý thuyết và kinh nghiệm đều cho thấy rằng các ngân hàng trung ương phụ thuộc vào nhiều ind hơn sẽ tạo ra chính sách tiền tệ tốt hơn.,"Mặc dù Ngân hàng Trung ương châu Âu độc lập, nhưng nó không độc lập như Cục Dự trữ Liên bang.",C
multiple_choice,1,Cơ quan chính phủ giám sát hệ thống ngân hàng và chịu trách nhiệm thực hiện chính sách tiền tệ ở Hoa Kỳ là,Hệ thống Dự trữ Liên bang.,Kho bạc Hoa Kỳ.,Ủy ban Vàng Hoa Kỳ.,Hạ viện.,A
multiple_choice,2,Các cá nhân cho vay tiền vào ngân hàng bằng cách mở tài khoản séc được gọi là,chủ hợp đồng.,Đối tác.,người gửi tiền.,chủ nợ.,C
multiple_choice,3,Ba người chơi trong quá trình cung tiền bao gồm,"ngân hàng, người gửi tiền và Kho bạc Hoa Kỳ.","ngân hàng, người gửi tiền, người đi vay.","ngân hàng, người gửi tiền và ngân hàng trung ương.","ngân hàng, người đi vay và ngân hàng trung ương.",C
multiple_choice,4,"Trong số ba người chơi trong quá trình cung tiền, hầu hết các nhà quan sát đều đồng ý rằng người chơi quan trọng nhất là",Kho bạc Hoa Kỳ.,Hệ thống Dự trữ Liên bang.,FDIC.,Văn phòng Giám sát Tiết kiệm.,B
multiple_choice,1,Both________and________are tài sản của Cục Dự trữ Liên bang.,lưu thông tiền tệ; Dự trữ,lưu thông tiền tệ; Chứng khoán,Chứng khoán; cho các tổ chức tài chính vay,Chứng khoán; Dự trữ,C
multiple_choice,2,Các khoản nợ tiền tệ của Cục Dự trữ Liên bang bao gồm,chứng khoán và cho vay đối với các tổ chức tài chính.,tiền tệlưu thông và dự trữ.,chứng khoán và dự trữ.,lưu thông tiền tệ và cho vay cho các tổ chức tài chính.,B
multiple_choice,3,Both________and________are nợ tiền tệ của Fed.,Chứng khoán; cho các tổ chức tài chính vay,lưu thông tiền tệ; Dự trữ,Chứng khoán; Dự trữ,lưu thông tiền tệ; cho các tổ chức tài chính vay,B
multiple_choice,4,Tổng các khoản nợ phải trả tiền tệ của Fed và nợ phải trả tiền tệ của Kho bạc Hoa Kỳ được gọi là,cung tiền.,tiền tệlưu thông.,dự trữ ngân hàng.,cơ sở tiền tệ.,D
multiple_choice,5,Cơ sở tiền tệ bao gồm,lưu thông tiền tệ và ghi chú của Cục Dự trữ Liên bang.,lưu thông tiền tệ và nợ tiền tệ của Kho bạc Hoa Kỳ.,tiền tệlưu thông và dự trữ.,dự trữ và Trái phiếu Dự trữ Liên bang.,C
multiple_choice,7,Dự trữ bằng tổng của,Dự trữ bắt buộc và dự trữ dư thừa.,Dự trữ bắt buộc và dự trữ tiền mặt của Vault.,Dự trữ dư thừa và dự trữ tiền mặt của Vault.,Tiền mặt kho dự trữ và tổng dự trữ.,A
multiple_choice,8,Tổng dự trữ là tổng of________and________.,dự trữ dư thừa; Dự trữ đã vay,dự trữ bắt buộc; tiền tệlưu thông,tiền mặt kho tiền; Dự trữ dư thừa,dự trữ dư thừa; Trữ lượng bắt buộc,D
multiple_choice,9,Dự trữ vượt mức bằng,tổng dự trữ trừ đi các khoản vay chiết khấu.,tiền gửi tiền mặt bằng tiền gửi với các ngân hàng Dự trữ Liên bang trừ đi khoản dự trữ bắt buộc.,vault cashminus yêu cầu dự trữ.,tiền gửi với Fedminus vault cashplus requiredreserves.,B
multiple_choice,10,Tổng dự trữ trừ đi tiền mặt của kho tiềnbằng,tiền gửi ngân hàng với Fed.,dự trữ dư thừa.,dự trữ bắt buộc.,tiền tệlưu thông.,A
multiple_choice,12,Tỷ lệ tiền gửi mà ngân hàng phải giữ là,tỷ lệ dự trữ vượt mức.,tỷ lệ dự trữ bắt buộc.,tổng tỷ lệ dự trữ.,tỷ lệ tiền tệ.,B
multiple_choice,13,"Giả sử rằng từ một khoản tiền gửi có thể kiểm tra mới, Ngân hàng Quốc gia đầu tiên giữ hai triệu đô la tiền mặt trong kho tiền, tám triệu đô la tiền gửi vào Cục Dự trữ Liên bang và một triệu đô la dự trữ bắt buộc. Cung cấp thông tin này, chúng tôi có thể nóiNgân hàng Quốc gia đầu tiên có ________million đô la dự trữ vượt mức.",Ba,Chín,Mười,Mười một,B
multiple_choice,14,"Giả sử rằng từ một khoản tiền gửi có thể kiểm tra mới, Ngân hàng Quốc gia đầu tiên giữ hai triệu đô la tiền mặt trong kho tiền, tám triệu đô la tiền gửi vào Cục Dự trữ Liên bang và một triệu đô la dự trữ bắt buộc. Cung cấp thông tin này, chúng tôi có thể nói Ngân hàng Quốc gia đầu tiên phải đối mặt với một ratioof________percent dự trữ bắt buộc.",Mười,Hai mươi,Tám mươi,Chín mươi,A
multiple_choice,16,"Giả sử rằng từ một khoản tiền gửi có thể kiểm tra mới, Ngân hàng Quốc gia Đầu tiên nắm giữ hai triệu đô la tiền mặt trong kho tiền, tám triệu đô la tiền gửi với Cục Dự trữ Liên bang, và chín triệu đô la dự trữ vượt mức. Cung cấp thông tin này, chúng tôi có thể nói Ngân hàng Quốc gia đầu tiên phải đối mặt với một ratioof________percent dự trữ bắt buộc.",Mười,Hai mươi,Tám mươi,Chín mươi,A
multiple_choice,17,"Giả sử rằng từ một khoản tiền gửi có thể kiểm tra mới, First National Bankhold tám triệu đô la tiền gửi vào Cục Dự trữ Liên bang, một triệu đô la dự trữ không bắt buộc, và phải đối mặt với tỷ lệ dự trữ bắt buộc. Với thông tin này, chúng tôi có thể nói Ngân hàng Quốc gia đầu tiên đã ________milliondollars dự trữ vượt mức.",Hai,Tám,Chín,Mười,C
